File Name,Description,Tags
BCN_MovingForward_6.webm,"Part of Moving Forward is an online forum, where people are able to talk about what they're going through with people who can relate. It was key to keep this a representational, rather than instructional. I didn't want people to get bogged down in a how-to. ","Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_7.webm,"A wealth of information is offered by the charity, and it was important to show this. ","Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_8.webm,The video comes full circle. What was cluttered and overwhelming becomes exciting and alluring. ,"Scripting, Storyboarding, Styleboarding, After Effects"
Vidsy_Walkers_1.mp4,"Social video content created via Vidsy for Lay's MAX — punchy, product-forward motion designed to perform across social platforms.","After Effects, Social Design"
Vidsy_Walkers_2.mp4,"Social video content created via Vidsy for Lay's MAX — punchy, product-forward motion designed to perform across social platforms.","After Effects, Social Design"
Vidsy_Walkers_3.mp4,"Social video content created via Vidsy for Lay's MAX — punchy, product-forward motion designed to perform across social platforms.","After Effects, Social Design"
Vidsy_Walkers_4.mp4,"Social video content created via Vidsy for Lay's MAX — punchy, product-forward motion designed to perform across social platforms.","After Effects, Social Design"
Vidsy_Walkers_5.mp4,"Social video content created via Vidsy for Lay's MAX — punchy, product-forward motion designed to perform across social platforms.","After Effects, Social Design"
Vidsy_Walkers_6.mp4,AI was utilised to create a ketchup asset that had not been provided. Full control of the output was ascertainable by creating the reference shape first.,"After Effects, Social Design"
Vidsy_Walkers_7.mp4,The full campaign was well received by the client. ,"After Effects, Social Design"
Vidsy_MountainDew_1.mp4,Social video content created via Vidsy for Mountain Dew — high-energy motion and bold visual language built for maximum impact in the feed.,"After Effects, Social Design"
Vidsy_MountainDew_2.png,Inspiration was given in the form of the Key Visual. The client wanted the product to 'come alive'. ,"After Effects, Social Design"
Vidsy_MountainDew_3.png,Inspiration was given in the form of the Key Visual. The client wanted the product to 'come alive'. ,"After Effects, Social Design"
Vidsy_MountainDew_4.mp4,Inspiration was given in the form of the Key Visual. The client wanted the product to 'come alive'. ,"After Effects, Social Design"
Vidsy_MountainDew_5.png,A summary of the brief.,"After Effects, Social Design"
Vidsy_MountainDew_6.webp,"The narrative structure, developed by the Creative Lead gave a rough guidence on how the video was to be executed.","After Effects, Social Design"
Vidsy_MountainDew_7.mp4,"The piece went on to be iterated in multipe ways, and localised for different markets, all off my original base asset","After Effects, Social Design"
Vidsy_MountainDew_8.mp4,"Ready, set, TASTE!","After Effects, Social Design"
TWSD_1.jpg,"Technology Will Save Us - a company making DIY gadget kits for kids. As part of its monthly subscription scheme, the company approached me to design a 12 page booklet as part of its deliverables for subscribers. ","Illustration, Character Design, Layout"
TWSD_2.jpg,"They had establised a recurring character ""Smorph"", who would go on various and curious adventures, all with a science theme.","Illustration, Character Design, Layout"
TWSD_3.png,"In this issue, Smorph was to pay a visit to the Natural History Museum, to learn about fossils.","Illustration, Character Design, Layout"
TWSD_4.jpg,"The story was provided, but I had creative freedom to illustrate in any style I wished.","Illustration, Character Design, Layout"
TWSD_5.jpg,The playful characters established inspired an equally playful style.,"Illustration, Character Design, Layout"
TWSD_6.jpg,"Typography played a key part, with narration in type, and the spoken passages all written out by hand.","Illustration, Character Design, Layout"
TWSD_7.png,"Taking inspiration from the provided text, intial sketches offer a chance to think freely and create loosely without considering how it would sit on the page. ","Illustration, Character Design, Layout"
TWSD_8.png,"Carrying on from the initial sketches, these layout designs established how the illustrations would sit with the text of the provided story.","Illustration, Character Design, Layout"
TWSD_9.png,I grew quite attached to the pair!,"Illustration, Character Design, Layout"
Birdwatcher_1.mp4,A celebration of patience and perspective. Finding the universal charm in the simple act of looking up and waiting.,"Procreate, Adobe Illustrator, Character Rigging, After Effects"
Birdwatcher_2.png,A celebration of patience and perspective. Finding the universal charm in the simple act of looking up and waiting.,"Procreate, Adobe Illustrator, Character Rigging, After Effects"
BirdWatcher_3.png,A celebration of patience and perspective. Finding the universal charm in the simple act of looking up and waiting.,"Procreate, Adobe Illustrator, Character Rigging, After Effects"
BirdWatcher_4.jpg,A celebration of patience and perspective. Finding the universal charm in the simple act of looking up and waiting.,"Procreate, Adobe Illustrator, Character Rigging, After Effects"
Birdwatcher_5.mp4,A celebration of patience and perspective. Finding the universal charm in the simple act of looking up and waiting.,"Procreate, Adobe Illustrator, Character Rigging, After Effects"
Halloween_1.mp4,A fun piece created in the run-up to Halloween.,"Rough Animator, Procreate, Procreate Dreams"
Halloween_2.gif,A fun piece created in the run-up to Halloween.,"Rough Animator, Procreate, Procreate Dreams"
Halloween_3.mp4,A fun piece created in the run-up to Halloween.,"Rough Animator, Procreate, Procreate Dreams"
Halloween_4.png,A fun piece created in the run-up to Halloween.,"Rough Animator, Procreate, Procreate Dreams"
Halloween_5.png,A fun piece created in the run-up to Halloween.,"Rough Animator, Procreate, Procreate Dreams"
Sunshine Boy_1.mp4,Why be sad when life feels this good?,"Procreate, Procreate Dreams, After Effects"
SunshineBoy_2.png,Why be sad when life feels this good?,"Procreate, Procreate Dreams, After Effects"
SunshineBoy_3.mov,Why be sad when life feels this good?,"Procreate, Procreate Dreams, After Effects"
BCN_Reducing Anxiety_1.mp4,"Created for socials, this piece directed viewers to use the Breast Cancer Now help line, and also to a page of information on the charity's webiste.","Storyboarding, After Effects"
BCN_Reducing Anxiety_2.png,"As always, it began with sketching. I new that I wanted to take inspiration from Headspace's visual language, given that they have paved the way in the mildfulness sphere.","Storyboarding, After Effects"
BCN_Reducing Anxiety_3.mp4,"I wanted to capture a stillness, in to invoke the feeling of control and simplicity.","Storyboarding, After Effects"
BCN_Reducing Anxiety_4.mp4,Each vignette is described through just one or two items. I felt. this provided a calm. ,"Storyboarding, After Effects"
BCN_Reducing Anxiety_5.mp4,"They were created through a combination of frame-by-frame, and keyframing, using the matchcut to move from scene to scene.","Storyboarding, After Effects"
BCN_Reducing Anxiety_6.mp4,Breast Cancer Now offers lots of support to those experiencing breast cancer. And their nursing team is always on-hand to listen.,"Storyboarding, After Effects"
